"zip","population","city","county"
"11542",27666,"Glen Cove","Nassau"
"12302",27665,"Schenectady","Schenectady"
"12010",27556,"Amsterdam","Montgomery"
"11701",27264,"Amityville","Suffolk"
"11570",27240,"Rockville Centre","Nassau"
"13210",27172,"Syracuse","Onondaga"
"10303",27164,"Staten Island","Richmond"
"10039",27090,"New York City","New York"
"11553",26938,"Uniondale","Nassau"
"14616",26935,"Rochester","Monroe"
"12306",26934,"Schenectady","Schenectady"
"10541",26678,"Mahopac","Putnam"
"12553",26665,"New Windsor","Orange"
"11001",26542,"Floral Park","Nassau"
"11232",26501,"Brooklyn","Kings"
"12533",26361,"Hopewell Junction","Dutchess"
"11741",26245,"Holbrook","Suffolk"
"13905",26151,"Binghamton","Broome"
"12804",26112,"Queensbury","Warren"
"11416",26087,"Ozone Park","Queens"
"12205",26039,"Albany","Albany"
"10954",25870,"Nanuet","Rockland"
"11791",25776,"Syosset","Nassau"
"11729",25597,"Deer Park","Suffolk"
"11010",25318,"Franklin Square","Nassau"
"11552",25169,"West Hempstead","Nassau"
"10710",25104,"Yonkers","Westchester"
"11427",25096,"Queens Village","Queens"
"11795",25062,"West Islip","Suffolk"
"14043",25058,"Depew","Erie"
"11104",25037,"Sunnyside","Queens"
"10001",25026,"New York City","New York"
"11784",25014,"Selden","Suffolk"
"14623",24720,"Rochester","Monroe"
"10512",24619,"Carmel","Putnam"
"10038",24205,"New York City","New York"
"11356",24178,"College Point","Queens"
"10310",24168,"Staten Island","Richmond"
"10566",24111,"Peekskill","Westchester"
"13069",24111,"Fulton","Oswego"
"14620",23912,"Rochester","Monroe"
"10901",23860,"Suffern","Rockland"
"14207",23773,"Buffalo","Erie"
"11776",23578,"Port Jefferson Station","Suffolk"
"14228",23406,"Buffalo","Erie"
"14618",23252,"Rochester","Monroe"
"10591",23059,"Tarrytown","Westchester"
"10012",23034,"New York City","New York"
"14217",23017,"Buffalo","Erie"
"12078",22956,"Gloversville","Fulton"
"11714",22769,"Bethpage","Nassau"
"14220",22641,"Buffalo","Erie"
"10703",22636,"Yonkers","Westchester"
"10471",22577,"Bronx","Bronx"
"13208",22560,"Syracuse","Onondaga"
"11692",22394,"Arverne","Queens"
"13850",22392,"Vestal","Broome"
"11762",22263,"Massapequa Park","Nassau"
"10708",22212,"Bronxville","Westchester"
"14211",22206,"Buffalo","Erie"
"13820",22157,"Oneonta","Otsego"
"14213",22132,"Buffalo","Erie"
"14020",22060,"Batavia","Genesee"
"14617",21985,"Rochester","Monroe"
"11581",21847,"Valley Stream","Nassau"
"14223",21734,"Buffalo","Erie"
"13212",21557,"Syracuse","Onondaga"
"11563",21537,"Lynbrook","Nassau"
"14216",21464,"Buffalo","Erie"
"12047",21453,"Cohoes","Albany"
"10552",21342,"Mount Vernon","Westchester"
"10805",21331,"New Rochelle","Westchester"
"14072",21287,"Grand Island","Erie"
"11783",21285,"Seaford","Nassau"
"11694",21258,"Rockaway Park","Queens"
"12110",21223,"Latham","Albany"
"14420",21124,"Brockport","Monroe"
"11726",21012,"Copiague","Suffolk"
"10543",20999,"Mamaroneck","Westchester"
"12304",20929,"Schenectady","Schenectady"
"13088",20926,"Liverpool","Onondaga"
"11768",20903,"Northport","Suffolk"
"10990",20735,"Warwick","Orange"
"12144",20604,"Rensselaer","Rensselaer"
"14227",20540,"Buffalo","Erie"
"12208",20517,"Albany","Albany"
"11411",20473,"Cambria Heights","Queens"
"14845",20401,"Horseheads","Chemung"
"10509",20230,"Brewster","Putnam"
"11426",20222,"Bellerose","Queens"
"10567",20094,"Cortlandt Manor","Westchester"
"14206",20064,"Buffalo","Erie"
"10605",19849,"White Plains","Westchester"
"11428",19830,"Queens Village","Queens"
"12508",19812,"Beacon","Dutchess"
"14214",19754,"Buffalo","Erie"
"11501",19675,"Mineola","Nassau"
"14456",19539,"Geneva","Ontario"
"11738",19364,"Farmingville","Suffolk"
"13204",19264,"Syracuse","Onondaga"
"14051",19178,"East Amherst","Erie"
"10037",19177,"New York City","New York"
"14830",19138,"Corning","Steuben"
"14526",19001,"Penfield","Monroe"
"11436",18955,"Jamaica","Queens"
"14218",18935,"Buffalo","Erie"
"11360",18892,"Bayside","Queens"
"10603",18862,"White Plains","Westchester"
"11747",18795,"Melville","Suffolk"
"13901",18786,"Binghamton","Broome"
"11362",18694,"Little Neck","Queens"
"14559",18584,"Spencerport","Monroe"
"11415",18464,"Kew Gardens","Queens"
"11030",18450,"Manhasset","Nassau"
"12561",18224,"New Paltz","Ulster"
"11021",18181,"Great Neck","Nassau"
"14468",17994,"Hilton","Monroe"
"12189",17945,"Watervliet","Albany"
"10302",17942,"Staten Island","Richmond"
"13903",17905,"Binghamton","Broome"
"12477",17870,"Saugerties","Ulster"
"11754",17861,"Kings Park","Suffolk"
"12589",17843,"Wallkill","Ulster"
"12534",17814,"Hudson","Columbia"
"13790",17763,"Johnson City","Broome"
"14052",17664,"East Aurora","Erie"
"14760",17567,"Olean","Cattaraugus"
"14611",17429,"Rochester","Monroe"
"12831",17389,"Gansevoort","Saratoga"
"10580",17185,"Rye","Westchester"
"13039",17078,"Cicero","Onondaga"
"14305",17026,"Niagara Falls","Niagara"
"11733",17000,"East Setauket","Suffolk"
"12054",16948,"Delmar","Albany"
"14607",16880,"Rochester","Monroe"
"13203",16876,"Syracuse","Onondaga"
"13206",16837,"Syracuse","Onondaga"
"11703",16820,"North Babylon","Suffolk"
"14615",16812,"Rochester","Monroe"
"11575",16799,"Roosevelt","Nassau"
"13676",16754,"Potsdam","St. Lawrence"
"13205",16746,"Syracuse","Onondaga"
"11788",16693,"Hauppauge","Suffolk"
"11937",16672,"East Hampton","Suffolk"
"12118",16467,"Mechanicville","Saratoga"
"10606",16199,"White Plains","Westchester"
"13662",16179,"Massena","St. Lawrence"
"10538",16151,"Larchmont","Westchester"
"11950",16130,"Mastic","Suffolk"
"10549",16121,"Mount Kisco","Westchester"
"11790",16099,"Stony Brook","Suffolk"
"10017",16065,"New York City","New York"
"13104",16038,"Manlius","Onondaga"
"11780",15934,"Saint James","Suffolk"
"13669",15870,"Ogdensburg","St. Lawrence"
"10960",15757,"Nyack","Rockland"
"13413",15750,"New Hartford","Oneida"
"11798",15636,"Wyandanch","Suffolk"
"12524",15608,"Fishkill","Dutchess"
"14901",15581,"Elmira","Chemung"
"12206",15537,"Albany","Albany"
"10470",15500,"Bronx","Bronx"
"10965",15493,"Pearl River","Rockland"
"13031",15484,"Camillus","Onondaga"
"12953",15469,"Malone","Franklin"
"14613",15375,"Rochester","Monroe"
"14564",15359,"Victor","Ontario"
"11004",15297,"Glen Oaks","Queens"
"14904",15109,"Elmira","Chemung"
"14222",15103,"Buffalo","Erie"
"11946",15058,"Hampton Bays","Suffolk"
"11782",15057,"Sayville","Suffolk"
"10307",15053,"Staten Island","Richmond"
"11767",15051,"Nesconset","Suffolk"
"13219",14819,"Syracuse","Onondaga"
"11951",14756,"Mastic Beach","Suffolk"
"12538",14566,"Hyde Park","Dutchess"
"14048",14414,"Dunkirk","Chautauqua"
"12771",14408,"Port Jervis","Orange"
"10804",14365,"New Rochelle","Westchester"
"12801",14330,"Glens Falls","Warren"
"13215",14306,"Syracuse","Onondaga"
"11953",14301,"Middle Island","Suffolk"
"12019",14244,"Ballston Lake","Saratoga"
"14210",14148,"Buffalo","Erie"
"11366",14109,"Fresh Meadows","Queens"
"12308",14038,"Schenectady","Schenectady"
"11598",13977,"Woodmere","Nassau"
"11702",13963,"Babylon","Suffolk"
"10980",13923,"Stony Point","Rockland"
"14063",13891,"Fredonia","Chautauqua"
"12182",13886,"Troy","Rensselaer"
"14619",13788,"Rochester","Monroe"
"14513",13749,"Newark","Wayne"
"11961",13701,"Ridge","Suffolk"
"14411",13671,"Albion","Orleans"
"11764",13633,"Miller Place","Suffolk"
"10924",13538,"Goshen","Orange"
"11949",13457,"Manorville","Suffolk"
"11751",13399,"Islip","Suffolk"
"10528",13395,"Harrison","Westchester"
"10941",13384,"Middletown","Orange"
"14610",13373,"Rochester","Monroe"
"11730",13335,"East Islip","Suffolk"
"13421",13230,"Oneida","Madison"
"13057",13126,"East Syracuse","Onondaga"
"11753",13092,"Jericho","Nassau"
"11693",13029,"Far Rockaway","Queens"
"12839",13011,"Hudson Falls","Washington"
"10530",12925,"Hartsdale","Westchester"
"14622",12906,"Rochester","Monroe"
"13815",12901,"Norwich","Chenango"
"10520",12885,"Croton On Hudson","Westchester"
"14527",12835,"Penn Yan","Yates"
"11239",12832,"Brooklyn","Kings"
"10570",12780,"Pleasantville","Westchester"
"10044",12770,"New York City","New York"
"12528",12767,"Highland","Ulster"
"11545",12686,"Glen Head","Nassau"
"11576",12606,"Roslyn","Nassau"
"13207",12552,"Syracuse","Onondaga"
"10514",12543,"Chappaqua","Westchester"
"13032",12522,"Canastota","Madison"
"11755",12514,"Lake Grove","Suffolk"
"10803",12492,"Pelham","Westchester"
"14843",12447,"Hornell","Steuben"
"13066",12443,"Fayetteville","Onondaga"
"13209",12364,"Syracuse","Onondaga"
"10918",12286,"Chester","Orange"
"14004",12240,"Alden","Erie"
"14425",12230,"Farmington","Ontario"
"11577",12120,"Roslyn Heights","Nassau"
"10927",12076,"Haverstraw","Rockland"
"12095",11986,"Johnstown","Fulton"
"11742",11968,"Holtsville","Suffolk"
"12566",11886,"Pine Bush","Orange"
"11778",11855,"Rocky Point","Suffolk"
"14586",11848,"West Henrietta","Monroe"
"14301",11838,"Niagara Falls","Niagara"
"13041",11808,"Clay","Onondaga"
"12188",11774,"Waterford","Saratoga"
"12586",11774,"Walden","Orange"
"14810",11673,"Bath","Steuben"
"13323",11585,"Clinton","Oneida"
"10474",11579,"Bronx","Bronx"
"13617",11556,"Canton","St. Lawrence"
"13827",11538,"Owego","Tioga"
"14519",11537,"Ontario","Wayne"
"14605",11457,"Rochester","Monroe"
"12549",11453,"Montgomery","Orange"
"14219",11391,"Buffalo","Erie"
"12701",11278,"Monticello","Sullivan"
"14437",11274,"Dansville","Livingston"
"14608",11260,"Rochester","Monroe"
"14454",11237,"Geneseo","Livingston"
"12211",11227,"Albany","Albany"
"14201",11192,"Buffalo","Erie"
"10604",11132,"West Harrison","Westchester"
"13492",11118,"Whitesboro","Oneida"
"12210",11057,"Albany","Albany"
"10522",11052,"Dobbs Ferry","Westchester"
"11766",11018,"Mount Sinai","Suffolk"
"10536",11002,"Katonah","Westchester"
"14212",10973,"Buffalo","Erie"
"13078",10940,"Jamesville","Onondaga"
"14092",10819,"Lewiston","Niagara"
"11968",10778,"Southampton","Suffolk"
"13357",10748,"Ilion","Herkimer"
"13148",10648,"Seneca Falls","Seneca"
"14502",10551,"Macedon","Wayne"
"14103",10448,"Medina","Orleans"
"14059",10446,"Elma","Erie"
"13619",10439,"Carthage","Jefferson"
"10970",10433,"Pomona","Rockland"
"14208",10346,"Buffalo","Erie"
"10510",10300,"Briarcliff Manor","Westchester"
"11596",10276,"Williston Park","Nassau"
"10601",10256,"White Plains","Westchester"
"12209",10237,"Albany","Albany"
"14870",10202,"Painted Post","Steuben"
"14031",10158,"Clarence","Erie"
"14032",10084,"Clarence Center","Erie"
"13642",10055,"Gouverneur","St. Lawrence"
"14625",10051,"Rochester","Monroe"
"12571",10037,"Red Hook","Dutchess"
"14467",9909,"Henrietta","Monroe"
"13165",9905,"Waterloo","Seneca"
"12569",9838,"Pleasant Valley","Dutchess"
"14006",9823,"Angola","Erie"
"11518",9819,"East Rockaway","Nassau"
"13904",9789,"Binghamton","Broome"
"10930",9789,"Highland Mills","Orange"
"13037",9775,"Chittenango","Madison"
"11716",9748,"Bohemia","Suffolk"
"10553",9747,"Mount Vernon","Westchester"
"13350",9727,"Herkimer","Herkimer"
"12414",9726,"Catskill","Greene"
"12061",9725,"East Greenbush","Rensselaer"
"10707",9713,"Tuckahoe","Westchester"
"12828",9690,"Fort Edward","Washington"
"13036",9632,"Central Square","Oswego"
"14522",9559,"Palmyra","Wayne"
"11771",9517,"Oyster Bay","Nassau"
"11023",9479,"Great Neck","Nassau"
"10523",9415,"Elmsford","Westchester"
"10280",9372,"New York City","New York"
"10709",9369,"Eastchester","Westchester"
"14001",9324,"Akron","Erie"
"11740",9321,"Greenlawn","Suffolk"
"13603",9274,"Watertown","Jefferson"
"14472",9271,"Honeoye Falls","Monroe"
"11777",9156,"Port Jefferson","Suffolk"
"11797",8998,"Woodbury","Nassau"
"12572",8961,"Rhinebeck","Dutchess"
"14895",8957,"Wellsville","Allegany"
"11565",8921,"Malverne","Nassau"
"10920",8919,"Congers","Rockland"
"13367",8893,"Lowville","Lewis"
"12540",8882,"Lagrangeville","Dutchess"
"14011",8864,"Attica","Wyoming"
"10992",8830,"Washingtonville","Orange"
"11752",8821,"Islip Terrace","Suffolk"
"13035",8707,"Cazenovia","Madison"
"10005",8664,"New York City","New York"
"10706",8622,"Hastings On Hudson","Westchester"
"13224",8486,"Syracuse","Onondaga"
"13365",8472,"Little Falls","Herkimer"
"10595",8439,"Valhalla","Westchester"
"11558",8435,"Island Park","Nassau"
"10989",8415,"Valley Cottage","Rockland"
"11792",8413,"Wading River","Suffolk"
"13214",8392,"Syracuse","Onondaga"
"14905",8330,"Elmira","Chemung"
"12803",8317,"South Glens Falls","Saratoga"
"11769",8299,"Oakdale","Suffolk"
"11559",8265,"Lawrence","Nassau"
"10579",8250,"Putnam Valley","Putnam"
"11713",8247,"Bellport","Suffolk"
"14482",8230,"Le Roy","Genesee"
"12043",8202,"Cobleskill","Schoharie"
"14057",8192,"Eden","Erie"
"11096",8155,"Inwood","Nassau"
"12033",8152,"Castleton On Hudson","Rensselaer"
"10018",8135,"New York City","New York"
"10589",8080,"Somers","Westchester"
"10504",8053,"Armonk","Westchester"
"10547",8034,"Mohegan Lake","Westchester"
"11705",8033,"Bayport","Suffolk"
"13340",8023,"Frankfort","Herkimer"
"14204",8003,"Buffalo","Erie"
"12159",7971,"Slingerlands","Albany"
"11557",7950,"Hewlett","Nassau"
"11024",7869,"Great Neck","Nassau"
"13152",7841,"Skaneateles","Onondaga"
"14209",7807,"Buffalo","Erie"
"14445",7761,"East Rochester","Monroe"
"12202",7753,"Albany","Albany"
"10923",7753,"Garnerville","Rockland"
"14892",7748,"Waverly","Tioga"
"12983",7719,"Saranac Lake","Franklin"
"12564",7710,"Pawling","Dutchess"
"12009",7690,"Altamont","Albany"
"14085",7605,"Lake View","Erie"
"13732",7602,"Apalachin","Tioga"
"12563",7579,"Patterson","Putnam"
"10007",7566,"New York City","New York"
"14141",7534,"Springville","Erie"
"14589",7502,"Williamson","Wayne"
"12204",7497,"Albany","Albany"
"11789",7496,"Sound Beach","Suffolk"
"13403",7485,"Marcy","Oneida"
"11516",7476,"Cedarhurst","Nassau"
"10533",7463,"Irvington","Westchester"
"14464",7419,"Hamlin","Monroe"
"13029",7360,"Brewerton","Onondaga"
"11934",7357,"Center Moriches","Suffolk"
"14470",7331,"Holley","Orleans"
"14428",7278,"Churchville","Monroe"
"12307",7219,"Schenectady","Schenectady"
"10590",7208,"South Salem","Westchester"
"14903",7186,"Elmira","Chemung"
"14068",7169,"Getzville","Erie"
"10607",7162,"White Plains","Westchester"
"10507",7152,"Bedford Hills","Westchester"
"12754",7142,"Liberty","Sullivan"
"12198",7119,"Wynantskill","Rensselaer"
"10994",7115,"West Nyack","Rockland"
"12018",7112,"Averill Park","Rensselaer"
"14489",7065,"Lyons","Wayne"
"11507",7051,"Albertson","Nassau"
"11963",6966,"Sag Harbor","Suffolk"
"14070",6958,"Gowanda","Cattaraugus"
"13202",6943,"Syracuse","Onondaga"
"11560",6850,"Locust Valley","Nassau"
"11363",6834,"Little Neck","Queens"
"14414",6797,"Avon","Livingston"
"12570",6772,"Poughquag","Dutchess"
"12051",6769,"Coxsackie","Greene"
"12184",6762,"Valatie","Columbia"
"13073",6729,"Groton","Tompkins"
"11709",6720,"Bayville","Nassau"
"12972",6611,"Peru","Clinton"
"13114",6594,"Mexico","Oswego"
"12158",6550,"Selkirk","Albany"
"14779",6537,"Salamanca","Cattaraugus"
"12428",6535,"Ellenville","Ulster"
"14047",6525,"Derby","Erie"
"10069",6504,"New York City","New York"
"12832",6500,"Granville","Washington"
"14886",6490,"Trumansburg","Tompkins"
"12077",6488,"Glenmont","Albany"
"13142",6486,"Pulaski","Oswego"
"11933",6475,"Calverton","Suffolk"
"13077",6462,"Homer","Cortland"
"10577",6387,"Purchase","Westchester"
"13339",6382,"Fort Plain","Montgomery"
"10996",6342,"West Point","Orange"
"11020",6325,"Great Neck","Nassau"
"14514",6293,"North Chili","Monroe"
"11721",6258,"Centerport","Suffolk"
"12305",6246,"Schenectady","Schenectady"
"14568",6241,"Walworth","Wayne"
"11786",6225,"Shoreham","Suffolk"
"13346",6225,"Hamilton","Madison"
"12582",6213,"Stormville","Dutchess"
"13865",6203,"Windsor","Broome"
"13108",6193,"Marcellus","Onondaga"
"12186",6190,"Voorheesville","Albany"
"13316",6168,"Camden","Oneida"
"13902",6162,"Binghamton","Broome"
"12222",6151,"Albany","Albany"
"13118",6130,"Moravia","Cayuga"
"11109",6127,"Long Island City","Queens"
"13211",6117,"Syracuse","Onondaga"
"14706",6110,"Allegany","Cattaraugus"
"12834",6101,"Greenwich","Washington"
"10282",6086,"New York City","New York"
"11971",6073,"Southold","Suffolk"
"14132",5999,"Sanborn","Niagara"
"13856",5999,"Walton","Delaware"
"14487",5997,"Livonia","Livingston"
"11980",5966,"Yaphank","Suffolk"
"12822",5962,"Corinth","Saratoga"
"14837",5947,"Dundee","Yates"
"13135",5939,"Phoenix","Oswego"
"12090",5931,"Hoosick Falls","Rensselaer"
"12986",5928,"Tupper Lake","Franklin"
"10962",5927,"Orangeburg","Rockland"
"14569",5910,"Warsaw","Wyoming"
"12721",5881,"Bloomingburg","Sullivan"
"12518",5861,"Cornwall","Orange"
"14174",5843,"Youngstown","Niagara"
"12542",5684,"Marlboro","Ulster"
"13309",5672,"Boonville","Oneida"
"14303",5652,"Niagara Falls","Niagara"
"14469",5646,"Bloomfield","Ontario"
"14009",5625,"Arcade","Wyoming"
"10983",5597,"Tappan","Rockland"
"14036",5588,"Corfu","Genesee"
"10594",5587,"Thornwood","Westchester"
"14261",5557,"Buffalo","Erie"
"10506",5555,"Bedford","Westchester"
"13753",5511,"Delhi","Delaware"
"14530",5500,"Perry","Wyoming"
"13166",5465,"Weedsport","Cayuga"
"13778",5458,"Greene","Chenango"
"10516",5449,"Cold Spring","Putnam"
"14867",5431,"Newfield","Tompkins"
"14590",5420,"Wolcott","Wayne"
"14551",5392,"Sodus","Wayne"
"14727",5385,"Cuba","Allegany"
"10502",5351,"Ardsley","Westchester"
"12025",5331,"Broadalbin","Fulton"
"13159",5303,"Tully","Onondaga"
"13624",5297,"Clayton","Jefferson"
"10913",5294,"Blauvelt","Rockland"
"14432",5277,"Clifton Springs","Ontario"
"14505",5277,"Marion","Wayne"
"14801",5234,"Addison","Steuben"
"14108",5196,"Newfane","Niagara"
"13068",5184,"Freeville","Tompkins"
"11579",5183,"Sea Cliff","Nassau"
"13605",5173,"Adams","Jefferson"
"13326",5165,"Cooperstown","Otsego"
"12123",5120,"Nassau","Rensselaer"
"13830",5119,"Oxford","Chenango"
"13733",5112,"Bainbridge","Chenango"
"12962",5084,"Morrisonville","Clinton"
"14871",5081,"Pine City","Chemung"
"14131",5056,"Ransomville","Niagara"
"11942",5053,"East Quogue","Suffolk"
"10993",5044,"West Haverstraw","Rockland"
"10576",5036,"Pound Ridge","Westchester"
"12170",5034,"Stillwater","Saratoga"
"12143",5032,"Ravena","Albany"
"11952",5031,"Mattituck","Suffolk"
"14572",5017,"Wayland","Steuben"
"14067",4971,"Gasport","Niagara"
"11940",4963,"East Moriches","Suffolk"
"12522",4918,"Dover Plains","Dutchess"
